Train Name,Date,Station Name,Scheduled Arrival Time,Actual Arrival Time,Scheduled Departure Time,Actual Departure Time,Distance Between Stations (km),Average Speed (km/h),Weather Condition,Temperature (C),Rainfall (mm),Visibility (km),Traffic Congestion,Platform Number,Cause of Delay (if any)
New Delhi Rajdhani Express (12302),2000-06-22,Kanpur Central,21:00,21:19,21:05,21:24,439,106.2,Thunderstorm,30.1,17.4,N/A,Low,3,Speed restriction due to thunderstorm (17.4 mm rainfall) - signal disruption risk
New Delhi Rajdhani Express (12302),2000-06-22,Pt Deen Dayal Upadhyaya Jn,23:35,23:53,23:45,00:03,347,130,Thunderstorm,30.1,17.4,N/A,Low,4,Speed restriction due to thunderstorm (17.4 mm rainfall) - signal disruption risk
New Delhi Rajdhani Express (12302),2000-06-22,Gaya Jn,01:15,01:35,01:20,01:40,203,130,Thunderstorm,30.1,17.4,N/A,Low,3,Speed restriction due to thunderstorm (17.4 mm rainfall) - signal disruption risk
New Delhi Rajdhani Express (12302),2000-06-22,Dhanbad Jn,03:00,03:19,03:05,03:24,199,120.6,Thunderstorm,30.1,17.4,N/A,Low,5,Speed restriction due to thunderstorm (17.4 mm rainfall) - signal disruption risk
New Delhi Rajdhani Express (12302),2000-06-22,Howrah Jn,09:55,10:14,None,None,259,37.9,Thunderstorm,30.1,17.4,N/A,Low,2,Speed restriction due to thunderstorm (17.4 mm rainfall) - signal disruption risk
New Delhi Rajdhani Express (12302),2000-06-23,New Delhi,None,None,16:55,16:56,N/A,N/A,Clear,34.2,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-06-23,Kanpur Central,21:00,21:02,21:05,21:07,439,107.1,Clear,34.2,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-06-23,Pt Deen Dayal Upadhyaya Jn,23:35,23:37,23:45,23:47,347,130,Clear,34.2,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-06-23,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Clear,34.2,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-06-23,Dhanbad Jn,03:00,03:00,03:05,03:05,199,119.4,Clear,34.2,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-06-23,Howrah Jn,09:55,09:58,None,None,259,37.6,Clear,34.2,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-06-24,New Delhi,None,None,16:55,16:55,N/A,N/A,Heatwave,44.9,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-06-24,Kanpur Central,21:00,21:03,21:05,21:08,439,106.2,Heatwave,44.9,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-06-24,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Heatwave,44.9,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-06-24,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Heatwave,44.9,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-06-24,Dhanbad Jn,03:00,03:01,03:05,03:06,199,118.2,Heatwave,44.9,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-06-24,Howrah Jn,09:55,09:56,None,None,259,37.9,Heatwave,44.9,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-06-25,New Delhi,None,None,16:55,16:56,N/A,N/A,Heatwave,43.8,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-06-25,Kanpur Central,21:00,21:16,21:05,21:21,439,101.3,Heatwave,43.8,N/A,N/A,None,2,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-25,Pt Deen Dayal Upadhyaya Jn,23:35,23:49,23:45,23:59,347,130,Heatwave,43.8,N/A,N/A,None,1,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-25,Gaya Jn,01:15,01:27,01:20,01:32,203,130,Heatwave,43.8,N/A,N/A,None,1,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-25,Dhanbad Jn,03:00,03:13,03:05,03:18,199,118.2,Heatwave,43.8,N/A,N/A,None,2,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-25,Howrah Jn,09:55,10:08,None,None,259,37.9,Heatwave,43.8,N/A,N/A,None,5,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-26,New Delhi,None,None,16:55,16:57,N/A,N/A,Heatwave,43.3,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-06-26,Kanpur Central,21:00,21:02,21:05,21:07,439,107.5,Heatwave,43.3,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-06-26,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Heatwave,43.3,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-06-26,Gaya Jn,01:15,01:17,01:20,01:22,203,130,Heatwave,43.3,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-06-26,Dhanbad Jn,03:00,03:00,03:05,03:05,199,121.8,Heatwave,43.3,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-06-26,Howrah Jn,09:55,09:57,None,None,259,37.7,Heatwave,43.3,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-06-27,New Delhi,None,None,16:55,17:13,N/A,N/A,High Wind,35.4,N/A,N/A,Medium,5,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-27,Kanpur Central,21:00,21:15,21:05,21:20,439,108.8,High Wind,35.4,N/A,N/A,Medium,5,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-27,Pt Deen Dayal Upadhyaya Jn,23:35,23:52,23:45,00:02,347,130,High Wind,35.4,N/A,N/A,Medium,3,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-27,Gaya Jn,01:15,01:33,01:20,01:38,203,130,High Wind,35.4,N/A,N/A,Medium,3,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-27,Dhanbad Jn,03:00,03:17,03:05,03:22,199,120.6,High Wind,35.4,N/A,N/A,Medium,5,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-27,Howrah Jn,09:55,10:15,None,None,259,37.6,High Wind,35.4,N/A,N/A,Medium,4,Late running of connecting/crossing train
New Delhi Rajdhani Express (12302),2000-06-28,New Delhi,None,None,16:55,17:09,N/A,N/A,High Wind,28.5,N/A,N/A,Low,4,Speed restriction due to high wind conditions
New Delhi Rajdhani Express (12302),2000-06-28,Kanpur Central,21:00,21:14,21:05,21:19,439,107.5,High Wind,28.5,N/A,N/A,Low,5,Speed restriction due to high wind conditions
New Delhi Rajdhani Express (12302),2000-06-28,Pt Deen Dayal Upadhyaya Jn,23:35,23:48,23:45,23:58,347,130,High Wind,28.5,N/A,N/A,Low,1,Speed restriction due to high wind conditions
New Delhi Rajdhani Express (12302),2000-06-28,Gaya Jn,01:15,01:26,01:20,01:31,203,130,High Wind,28.5,N/A,N/A,Low,1,Speed restriction due to high wind conditions
New Delhi Rajdhani Express (12302),2000-06-28,Dhanbad Jn,03:00,03:12,03:05,03:17,199,118.2,High Wind,28.5,N/A,N/A,Low,1,Speed restriction due to high wind conditions
New Delhi Rajdhani Express (12302),2000-06-28,Howrah Jn,09:55,10:06,None,None,259,38.0,High Wind,28.5,N/A,N/A,Low,2,Speed restriction due to high wind conditions
New Delhi Rajdhani Express (12302),2000-06-29,New Delhi,None,None,16:55,16:57,N/A,N/A,Thunderstorm,37.7,34.9,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-06-29,Kanpur Central,21:00,21:01,21:05,21:06,439,108.0,Thunderstorm,37.7,34.9,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-06-29,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Thunderstorm,37.7,34.9,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-06-29,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Thunderstorm,37.7,34.9,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-06-29,Dhanbad Jn,03:00,03:15,03:05,03:20,199,103.8,Thunderstorm,37.7,34.9,N/A,Medium,2,Crossing freight train
New Delhi Rajdhani Express (12302),2000-06-29,Howrah Jn,09:55,10:10,None,None,259,37.9,Thunderstorm,37.7,34.9,N/A,Medium,1,Crossing freight train
New Delhi Rajdhani Express (12302),2000-06-30,New Delhi,None,None,16:55,16:57,N/A,N/A,High Wind,36.2,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-06-30,Kanpur Central,21:00,21:01,21:05,21:06,439,108.0,High Wind,36.2,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-06-30,Pt Deen Dayal Upadhyaya Jn,23:35,23:35,23:45,23:45,347,130,High Wind,36.2,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-06-30,Gaya Jn,01:15,01:15,01:20,01:20,203,130,High Wind,36.2,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-06-30,Dhanbad Jn,03:00,03:00,03:05,03:05,199,119.4,High Wind,36.2,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-06-30,Howrah Jn,09:55,09:55,None,None,259,37.9,High Wind,36.2,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-01,New Delhi,None,None,16:55,16:55,N/A,N/A,Cloudy,25.3,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-01,Kanpur Central,21:00,21:20,21:05,21:25,439,99.4,Cloudy,25.3,N/A,N/A,Low,5,Track maintenance block
New Delhi Rajdhani Express (12302),2000-07-01,Pt Deen Dayal Upadhyaya Jn,23:35,23:55,23:45,00:05,347,130,Cloudy,25.3,N/A,N/A,Low,1,Track maintenance block
New Delhi Rajdhani Express (12302),2000-07-01,Gaya Jn,01:15,01:35,01:20,01:40,203,130,Cloudy,25.3,N/A,N/A,Low,4,Track maintenance block
New Delhi Rajdhani Express (12302),2000-07-01,Dhanbad Jn,03:00,03:19,03:05,03:24,199,120.6,Cloudy,25.3,N/A,N/A,Low,1,Track maintenance block
New Delhi Rajdhani Express (12302),2000-07-01,Howrah Jn,09:55,10:15,None,None,259,37.8,Cloudy,25.3,N/A,N/A,Low,1,Track maintenance block
New Delhi Rajdhani Express (12302),2000-07-02,New Delhi,None,None,16:55,16:55,N/A,N/A,Light Rain,30.7,12.3,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-02,Kanpur Central,21:00,21:02,21:05,21:07,439,106.6,Light Rain,30.7,12.3,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-02,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Light Rain,30.7,12.3,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-02,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Light Rain,30.7,12.3,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-02,Dhanbad Jn,03:00,03:01,03:05,03:06,199,118.2,Light Rain,30.7,12.3,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-02,Howrah Jn,09:55,09:57,None,None,259,37.8,Light Rain,30.7,12.3,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-03,New Delhi,None,None,16:55,16:57,N/A,N/A,Thunderstorm,30.5,16.7,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-03,Kanpur Central,21:00,21:01,21:05,21:06,439,108.0,Thunderstorm,30.5,16.7,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-03,Pt Deen Dayal Upadhyaya Jn,23:35,23:35,23:45,23:45,347,130,Thunderstorm,30.5,16.7,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-03,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Thunderstorm,30.5,16.7,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-03,Dhanbad Jn,03:00,03:00,03:05,03:05,199,119.4,Thunderstorm,30.5,16.7,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-03,Howrah Jn,09:55,09:57,None,None,259,37.7,Thunderstorm,30.5,16.7,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-04,New Delhi,None,None,16:55,16:55,N/A,N/A,Thunderstorm,30.9,8.3,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-04,Kanpur Central,21:00,21:02,21:05,21:07,439,106.6,Thunderstorm,30.9,8.3,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-04,Pt Deen Dayal Upadhyaya Jn,23:35,23:37,23:45,23:47,347,130,Thunderstorm,30.9,8.3,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-04,Gaya Jn,01:15,01:18,01:20,01:23,203,130,Thunderstorm,30.9,8.3,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-04,Dhanbad Jn,03:00,03:02,03:05,03:07,199,120.6,Thunderstorm,30.9,8.3,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-04,Howrah Jn,09:55,09:58,None,None,259,37.8,Thunderstorm,30.9,8.3,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-05,New Delhi,None,None,16:55,16:56,N/A,N/A,Cloudy,30.9,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-05,Kanpur Central,21:00,21:03,21:05,21:08,439,106.6,Cloudy,30.9,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-05,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Cloudy,30.9,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-05,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Cloudy,30.9,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-05,Dhanbad Jn,03:00,03:01,03:05,03:06,199,118.2,Cloudy,30.9,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-07-05,Howrah Jn,09:55,09:56,None,None,259,37.9,Cloudy,30.9,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-07-06,New Delhi,None,None,16:55,16:56,N/A,N/A,Clear,32.2,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-06,Kanpur Central,21:00,21:02,21:05,21:07,439,107.1,Clear,32.2,N/A,N/A,Low,3,None
New Delhi Rajdhani Express (12302),2000-07-06,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Clear,32.2,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-07-06,Gaya Jn,01:15,01:17,01:20,01:22,203,130,Clear,32.2,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-06,Dhanbad Jn,03:00,03:01,03:05,03:06,199,120.6,Clear,32.2,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-06,Howrah Jn,09:55,09:58,None,None,259,37.7,Clear,32.2,N/A,N/A,Low,1,None
New Delhi Rajdhani Express (12302),2000-07-07,New Delhi,None,None,16:55,16:55,N/A,N/A,Heavy Rain,31.8,37.5,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-07-07,Kanpur Central,21:00,21:45,21:05,21:50,439,90.8,Heavy Rain,31.8,37.5,N/A,Medium,1,Speed restriction due to heavy rainfall (37.5 mm) - waterlogging risk
New Delhi Rajdhani Express (12302),2000-07-07,Pt Deen Dayal Upadhyaya Jn,23:35,00:17,23:45,00:27,347,130,Heavy Rain,31.8,37.5,N/A,Medium,2,Speed restriction due to heavy rainfall (37.5 mm) - waterlogging risk
New Delhi Rajdhani Express (12302),2000-07-07,Gaya Jn,01:15,01:54,01:20,01:59,203,130,Heavy Rain,31.8,37.5,N/A,Medium,2,Speed restriction due to heavy rainfall (37.5 mm) - waterlogging risk
New Delhi Rajdhani Express (12302),2000-07-07,Dhanbad Jn,03:00,03:33,03:05,03:38,199,127.0,Heavy Rain,31.8,37.5,N/A,Medium,5,Speed restriction due to heavy rainfall (37.5 mm) - waterlogging risk
New Delhi Rajdhani Express (12302),2000-07-07,Howrah Jn,09:55,10:27,None,None,259,38.0,Heavy Rain,31.8,37.5,N/A,Medium,3,Speed restriction due to heavy rainfall (37.5 mm) - waterlogging risk
New Delhi Rajdhani Express (12302),2000-07-08,New Delhi,None,None,16:55,17:10,N/A,N/A,Light Rain,26.9,4.5,N/A,Low,2,Minor speed restriction due to rainfall (4.5 mm)
New Delhi Rajdhani Express (12302),2000-07-08,Kanpur Central,21:00,21:14,21:05,21:19,439,108.0,Light Rain,26.9,4.5,N/A,Low,3,Minor speed restriction due to rainfall (4.5 mm)
New Delhi Rajdhani Express (12302),2000-07-08,Pt Deen Dayal Upadhyaya Jn,23:35,23:51,23:45,00:01,347,130,Light Rain,26.9,4.5,N/A,Low,3,Minor speed restriction due to rainfall (4.5 mm)
New Delhi Rajdhani Express (12302),2000-07-08,Gaya Jn,01:15,01:31,01:20,01:36,203,130,Light Rain,26.9,4.5,N/A,Low,1,Minor speed restriction due to rainfall (4.5 mm)
New Delhi Rajdhani Express (12302),2000-07-08,Dhanbad Jn,03:00,03:15,03:05,03:20,199,120.6,Light Rain,26.9,4.5,N/A,Low,5,Minor speed restriction due to rainfall (4.5 mm)
New Delhi Rajdhani Express (12302),2000-07-08,Howrah Jn,09:55,10:08,None,None,259,38.1,Light Rain,26.9,4.5,N/A,Low,3,Minor speed restriction due to rainfall (4.5 mm)
New Delhi Rajdhani Express (12302),2000-07-09,New Delhi,None,None,16:55,16:56,N/A,N/A,Thunderstorm,32.5,21.8,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-09,Kanpur Central,21:00,21:03,21:05,21:08,439,106.6,Thunderstorm,32.5,21.8,N/A,Low,2,None
New Delhi Rajdhani Express (12302),2000-07-09,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Thunderstorm,32.5,21.8,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-09,Gaya Jn,01:15,01:18,01:20,01:23,203,130,Thunderstorm,32.5,21.8,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-09,Dhanbad Jn,03:00,03:01,03:05,03:06,199,121.8,Thunderstorm,32.5,21.8,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-09,Howrah Jn,09:55,09:55,None,None,259,38.0,Thunderstorm,32.5,21.8,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-10,New Delhi,None,None,16:55,16:58,N/A,N/A,Heavy Rain,24.6,84.9,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-10,Kanpur Central,21:00,21:00,21:05,21:05,439,108.8,Heavy Rain,24.6,84.9,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-10,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Heavy Rain,24.6,84.9,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-10,Gaya Jn,01:15,01:18,01:20,01:23,203,130,Heavy Rain,24.6,84.9,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-10,Dhanbad Jn,03:00,03:36,03:05,03:41,199,89.8,Heavy Rain,24.6,84.9,N/A,Medium,2,Speed restriction due to heavy rainfall (84.9 mm) - waterlogging risk
New Delhi Rajdhani Express (12302),2000-07-10,Howrah Jn,09:55,10:24,None,None,259,38.6,Heavy Rain,24.6,84.9,N/A,Medium,4,Speed restriction due to heavy rainfall (84.9 mm) - waterlogging risk
New Delhi Rajdhani Express (12302),2000-07-11,New Delhi,None,None,16:55,16:57,N/A,N/A,Light Rain,31.8,6.5,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-11,Kanpur Central,21:00,21:00,21:05,21:05,439,108.4,Light Rain,31.8,6.5,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-11,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Light Rain,31.8,6.5,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-11,Gaya Jn,01:15,01:17,01:20,01:22,203,130,Light Rain,31.8,6.5,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-11,Dhanbad Jn,03:00,03:01,03:05,03:06,199,120.6,Light Rain,31.8,6.5,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-07-11,Howrah Jn,09:55,09:57,None,None,259,37.8,Light Rain,31.8,6.5,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-12,New Delhi,None,None,16:55,16:58,N/A,N/A,Light Rain,26.4,14.7,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-07-12,Kanpur Central,21:00,21:18,21:05,21:23,439,101.3,Light Rain,26.4,14.7,N/A,Medium,5,Minor speed restriction due to rainfall (14.7 mm)
New Delhi Rajdhani Express (12302),2000-07-12,Pt Deen Dayal Upadhyaya Jn,23:35,23:53,23:45,00:03,347,130,Light Rain,26.4,14.7,N/A,Medium,4,Minor speed restriction due to rainfall (14.7 mm)
New Delhi Rajdhani Express (12302),2000-07-12,Gaya Jn,01:15,01:33,01:20,01:38,203,130,Light Rain,26.4,14.7,N/A,Medium,1,Minor speed restriction due to rainfall (14.7 mm)
New Delhi Rajdhani Express (12302),2000-07-12,Dhanbad Jn,03:00,03:17,03:05,03:22,199,120.6,Light Rain,26.4,14.7,N/A,Medium,3,Minor speed restriction due to rainfall (14.7 mm)
New Delhi Rajdhani Express (12302),2000-07-12,Howrah Jn,09:55,10:12,None,None,259,37.9,Light Rain,26.4,14.7,N/A,Medium,1,Minor speed restriction due to rainfall (14.7 mm)
New Delhi Rajdhani Express (12302),2000-07-13,New Delhi,None,None,16:55,16:55,N/A,N/A,Cloudy,31.5,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-07-13,Kanpur Central,21:00,21:13,21:05,21:18,439,102.1,Cloudy,31.5,N/A,N/A,Medium,1,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-07-13,Pt Deen Dayal Upadhyaya Jn,23:35,23:46,23:45,23:56,347,130,Cloudy,31.5,N/A,N/A,Medium,2,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-07-13,Gaya Jn,01:15,01:26,01:20,01:31,203,130,Cloudy,31.5,N/A,N/A,Medium,5,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-07-13,Dhanbad Jn,03:00,03:09,03:05,03:14,199,121.8,Cloudy,31.5,N/A,N/A,Medium,3,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-07-13,Howrah Jn,09:55,10:05,None,None,259,37.8,Cloudy,31.5,N/A,N/A,Medium,4,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-07-14,New Delhi,None,None,16:55,17:12,N/A,N/A,Light Rain,25.2,4.6,N/A,Low,2,Minor speed restriction due to rainfall (4.6 mm)
New Delhi Rajdhani Express (12302),2000-07-14,Kanpur Central,21:00,21:16,21:05,21:21,439,108.0,Light Rain,25.2,4.6,N/A,Low,2,Minor speed restriction due to rainfall (4.6 mm)
New Delhi Rajdhani Express (12302),2000-07-14,Pt Deen Dayal Upadhyaya Jn,23:35,23:51,23:45,00:01,347,130,Light Rain,25.2,4.6,N/A,Low,1,Minor speed restriction due to rainfall (4.6 mm)
New Delhi Rajdhani Express (12302),2000-07-14,Gaya Jn,01:15,01:30,01:20,01:35,203,130,Light Rain,25.2,4.6,N/A,Low,3,Minor speed restriction due to rainfall (4.6 mm)
New Delhi Rajdhani Express (12302),2000-07-14,Dhanbad Jn,03:00,03:18,03:05,03:23,199,115.9,Light Rain,25.2,4.6,N/A,Low,5,Minor speed restriction due to rainfall (4.6 mm)
New Delhi Rajdhani Express (12302),2000-07-14,Howrah Jn,09:55,10:09,None,None,259,38.3,Light Rain,25.2,4.6,N/A,Low,4,Minor speed restriction due to rainfall (4.6 mm)
New Delhi Rajdhani Express (12302),2000-07-15,New Delhi,None,None,16:55,17:00,N/A,N/A,Light Rain,26.6,6.8,N/A,Low,1,None
New Delhi Rajdhani Express (12302),2000-07-15,Kanpur Central,21:00,21:00,21:05,21:05,439,109.8,Light Rain,26.6,6.8,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-15,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Light Rain,26.6,6.8,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-15,Gaya Jn,01:15,01:16,01:20,01:21,203,130,Light Rain,26.6,6.8,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-15,Dhanbad Jn,03:00,03:01,03:05,03:06,199,119.4,Light Rain,26.6,6.8,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-07-15,Howrah Jn,09:55,09:56,None,None,259,37.9,Light Rain,26.6,6.8,N/A,Low,5,None
New Delhi Rajdhani Express (12302),2000-07-16,New Delhi,None,None,16:55,16:59,N/A,N/A,Thunderstorm,25.0,34.2,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-16,Kanpur Central,21:00,21:01,21:05,21:06,439,108.8,Thunderstorm,25.0,34.2,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-16,Pt Deen Dayal Upadhyaya Jn,23:35,02:16,23:45,02:26,347,67.2,Thunderstorm,25.0,34.2,N/A,Medium,5,Speed restriction due to thunderstorm (34.2 mm rainfall) - signal disruption risk
New Delhi Rajdhani Express (12302),2000-07-16,Gaya Jn,01:15,03:52,01:20,03:57,203,130,Thunderstorm,25.0,34.2,N/A,Medium,4,Speed restriction due to thunderstorm (34.2 mm rainfall) - signal disruption risk
New Delhi Rajdhani Express (12302),2000-07-16,Dhanbad Jn,03:00,05:32,03:05,05:37,199,125.7,Thunderstorm,25.0,34.2,N/A,Medium,2,Speed restriction due to thunderstorm (34.2 mm rainfall) - signal disruption risk
New Delhi Rajdhani Express (12302),2000-07-16,Howrah Jn,09:55,12:22,None,None,259,38.4,Thunderstorm,25.0,34.2,N/A,Medium,4,Speed restriction due to thunderstorm (34.2 mm rainfall) - signal disruption risk
New Delhi Rajdhani Express (12302),2000-07-17,New Delhi,None,None,16:55,16:56,N/A,N/A,Light Rain,29.8,10.3,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-17,Kanpur Central,21:00,21:00,21:05,21:05,439,108.0,Light Rain,29.8,10.3,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-17,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Light Rain,29.8,10.3,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-07-17,Gaya Jn,01:15,01:16,01:20,01:21,203,130,Light Rain,29.8,10.3,N/A,Low,2,None
New Delhi Rajdhani Express (12302),2000-07-17,Dhanbad Jn,03:00,03:01,03:05,03:06,199,119.4,Light Rain,29.8,10.3,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-07-17,Howrah Jn,09:55,09:56,None,None,259,37.9,Light Rain,29.8,10.3,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-07-18,New Delhi,None,None,16:55,16:56,N/A,N/A,Heavy Rain,24.9,83.5,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-07-18,Kanpur Central,21:00,21:02,21:05,21:07,439,107.1,Heavy Rain,24.9,83.5,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-18,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Heavy Rain,24.9,83.5,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-07-18,Gaya Jn,01:15,01:18,01:20,01:23,203,130,Heavy Rain,24.9,83.5,N/A,None,5,None
